ФИО,Пол,Роль в мероприятии,Список компетенций,Должность,Категория,Начало трудового стажа,Место работы,Профессия,Дата рождения,Начало трудовой деятельности в РОСАТОМ,Образование,Место образования,Год оканчания,Специальность,individual_result,Скор/стаж,Перспективность,Возраст,Количество сложных задач,Количество средних задач
ФИО_416,0,Участник мероприятия,Информационная безопасность; ,ведущий специалист,Инженер,янв.99,"АО ФЦНИВТ СНПО ""Элерон""",,2002-08-08,2020-03-12,,,,Эксплуатация железных дорог,39.662290616774726,0.05079621164698856,0,33.9472100637755,,
ФИО_304,0,Участник мероприятия,Квантовые технологии; ,Инженер по качеству,,"11,2011",Институт теоретической и математической физики,,1984-10-31,2020-12-01,,,,,68.85732277111003,,0,,,
ФИО_336,0,Участник мероприятия,Работы на токарных универсальных станках; ,Главный специалист,,18.11.2019,Ордена Трудового Красного Знамени ФГБОУ ВО «Московский технический университет связи и информатики»,,22.10.1974,2003-08-26,,,,,58.847394385566886,,0,35.73571906642543,,
ФИО_340,0,Участник мероприятия,Аналитический контроль; ,Инженер 2 категории,,-,"""АО """"Сибирский химический комбинат""""""",,1999-01-26,,,,,,61.199674576139444,,0,,,
ФИО_155,0,Участник мероприятия,Охрана окружающей среды; ,инженер,,дек.12,АО «Гринатом»,,1995-09-29,,,,,,28.81447054980228,0.12144129629500358,0,25.662421083235635,,
ФИО_365,0,Участник мероприятия,Управление качеством; ,Лаборант химического анализа 5 разряда,Инженер,2012-05-02,"Национальный исследовательский ядерный университет ""МИФИ""",,2002-11-30,2022-01-10,,,,,0.0,,0,,,
ФИО_279,0,Участник мероприятия,Информационная безопасность; ,Ведущий специалист по экологии,Инженер,2000-07-03,"""АО """"Сибирский химический комбинат""""""",Инженерное проектирование,1992-10-03,2021-05-14,,,,,12.262458719855621,0.014412918354897837,0,34.9417723024112,1.0803121280512276,2.8194115669639688
ФИО_347,1,Участник мероприятия,Машинное обучение и большие данные; ,Арматурщик,,26.09.2011,Институт теоретической и математической физики,,,,,,,,58.499359433098356,0.2052227337216917,0,27.062276221084133,,
ФИО_525,1,Участник мероприятия,Радиационный контроль; ,Монтажник детонаторных устройств,,05.2015,"Федеральное государственное унитарное предприятие ""Горно-химический комбинат",,2001-03-20,2022-01-10,,,,,37.37521059189042,0.14519674779920821,0,36.5593297862817,1.6234556262523492,
ФИО_293,0,Участник мероприятия,Информационная безопасность; ,Инженер- геодезист  отдела капитального строительства,Инженер,2011-09-01,Балаковская атомная электростанция,,1996-02-18,,,"ФГАОУ ВПО ""НАЦИОНАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ЯДЕРНЫЙ УНИВЕРСИТЕТ ""МИФИ""",,,1.455565654574979,,0,,,
ФИО_241,1,Участник мероприятия,Инженерное проектирование; ,Инженер-программист,,,БИТИ НИЯУ МИФИ,,,2018-04-23,,,,,14.20674917158376,,0,,,
