ФИО,Пол,Роль в мероприятии,Список компетенций,Должность,Категория,Начало трудового стажа,Место работы,Профессия,Дата рождения,Начало трудовой деятельности в РОСАТОМ,Образование,Место образования,Год оканчания,Специальность,individual_result,Скор/стаж,Перспективность,Возраст,Количество сложных задач,Количество средних задач
ФИО_237,0,Участник мероприятия,Инженерное проектирование; ,Лаборант,Инженер,1997-06-20,"""АО """"Центральный проектно-технологический институт""""""",,04.07.1990,2012,,,,,0.0,0.0,0,37.644128180359985,,
ФИО_0,1,Участник мероприятия,Технологии композитов; ,Инженер-проектировщик 2 категории,Нет,,"АО ""АтомЭнергоСбыт""",Радиационный контроль,2001-04-11,2022-03-30,,,,,36.86580712663248,,0,,,
ФИО_416,0,Участник мероприятия,Технологии композитов; ,Сварщик,,07.2016,АО «Государственный специализированный проектный институт» ,,22.01.1997,,,,,,0.0,0.1527744713364298,0,26.39752393321408,1.3638015688923337,2.1090864508820486
ФИО_340,0,Участник мероприятия,Информационная безопасность; ,Инженер-эколог 1 категории,,дек.15,Татьяна Олеговна Вербицкая,,1995-08-05,2019-05-22,,,2015,,31.8544451055512,0.05256535608754906,0,36.68602418609313,,
ФИО_388,0,Участник мероприятия,Электроника; ,Функциональный архитектор,Специалист (рабочие специальности),2010-07-22,Акционерное общество «Ведущий проектно-изыскательский и научно-исследовательский институт промышленной технологии».,Инженер-конструктор,20.01.1981,2024-04-01,Высшее,Томский Государственный Архитектурно-Строительный Университет (ТГАСУ),2015,Экономист-менеджер в строительстве,57.6185936940404,0.2211061917419856,0,33.093107413516776,,
ФИО_565,0,Участник мероприятия,Строительный контроль; ,Инженер по качеству,Нет,2016-10-10,АО Никимт атомстрой,Радиационный контроль,1999-02-18,2022-02-21,,,,,22.739675540678665,,0,,,
ФИО_439,0,Участник мероприятия,Вывод из эксплуатации объектов использования атомной энергии; ,Ведущий специалист,,02.2000,Снежинский физико-технический институт Национального исследовательского ядерного университета МИФИ,,1986-08-30,,,,,химическая технология;Химическая технология,8.158645573748446,,0,,,
ФИО_459,1,Участник мероприятия,Управление жизненным циклом; ,Инженер - конструктор,,03.2012,Департамент капитального строительства,,02.08.1991,,,,,,1.855324570721141,,0,,,
ФИО_291,0,Участник мероприятия,Неразрушающий контроль; ,Инженер-конструктор,Инженер,,АО  Ведущий Научно-Исследовательский Промышленный Институт промышленной технологии,,,,,,,,44.170119956941846,0.12257261271525882,0,25.85811087081052,1.1401986849421308,2.6192364219896276
ФИО_50,0,Участник мероприятия,Мехатроника; ,Монтажник,,"10,2018",Ведущий проектно-изыскательский и научно-исследовательский институт промышленной технологии,нет в предлагаемом списке,15.12.1997,,,,,,35.13045302387896,,0,,,
